asset_id;tipo_asset;area_geografica;eta_anni;temperatura_media;vibrazione_indice;carico_pct;umidita_media;manutenzioni_ultimi_5anni;giorni_da_ultima_manutenzione;criticita_utenza;guasto_entro_30gg
AST-00025;cabina_primaria;Sud;26;42,5;2,41;62,9;55,3;1;133;standard;0
AST-00026;linea_AT;Nord;12;21,2;1,28;74,0;57,9;6;246;standard;0
AST-00027;trasformatore;Centro;12;28,4;2,35;79,5;62,7;1;171;standard;0
AST-00028;linea_AT;Nord;17;38,5;1,61;100,0;41,6;8;254;alta;0
AST-00029;linea_AT;Nord;17;34,4;1,6;54,7;49,0;3;188;standard;0
AST-00030;linea_AT;Sud;20;39,9;2,4;62,3;55,9;3;436;alta;0
AST-00031;cabina_primaria;Sud;30;54,6;1,32;55,2;76,8;0;404;alta;0
AST-00032;linea_AT;Isole;20;41,3;1,56;87,4;65,7;2;183;standard;0
AST-00033;linea_AT;Nord;10;30,1;5,28;88,4;76,3;1;209;alta;1
AST-00034;trasformatore;Nord;24;34,9;3,7;59,9;60,3;1;133;alta;0
AST-00035;linea_AT;Centro;22;57,4;1,42;100,0;62,0;5;303;alta;0
AST-00036;cabina_primaria;Nord;12;55,8;1,64;55,2;69,0;6;207;alta;0
AST-00037;linea_AT;Nord;16;47,4;1,05;86,5;59,5;0;208;standard;0
AST-00038;linea_AT;Centro;18;27,9;1,28;94,2;53,3;6;188;standard;0
AST-00039;turbina_eolica;Nord;1;44,8;1,33;43,5;41,1;6;87;standard;0
AST-00040;linea_AT;Sud;18;45,5;1,8;78,4;53,6;0;305;alta;1
AST-00041;cabina_primaria;Centro;17;42,2;0,27;18,9;73,7;3;66;standard;0
AST-00042;trasformatore;Sud;21;36,9;1,25;82,8;79,6;2;293;standard;0
AST-00043;trasformatore;Sud;24;38,7;1,1;48,2;51,2;5;223;critica;0
AST-00044;turbina_eolica;Nord;21;36,2;4,02;78,2;37,7;0;45;standard;1
AST-00045;turbina_eolica;Sud;21;31,7;1,62;81,6;75,0;1;349;standard;0
AST-00046;linea_AT;Sud;17;54,3;1,98;88,2;63,0;1;383;standard;1
AST-00047;trasformatore;Centro;19;49,9;1,23;84,0;43,1;5;207;standard;0
AST-00048;turbina_eolica;Nord;12;39,4;1,63;69,0;18,4;5;120;standard;0
AST-00049;linea_AT;Sud;22;45,2;1,28;61,2;48,5;2;264;standard;0
AST-00050;linea_AT;Nord;12;45,5;1,82;66,7;55,5;6;135;critica;0
AST-00051;linea_AT;Nord;27;63,1;2,34;47,9;45,9;4;94;standard;1
AST-00052;linea_AT;Nord;1;49,9;0,57;64,2;71,7;4;155;standard;0
AST-00053;linea_AT;Sud;21;49,5;2,56;62,8;50,6;3;218;alta;1
AST-00054;linea_AT;Sud;23;42,3;0,8;53,8;62,2;2;396;standard;0
AST-00055;linea_AT;Sud;18;38,1;5,4;36,7;95,2;4;295;standard;1
AST-00056;turbina_eolica;Sud;28;54,4;1,8;45,0;63,6;3;370;standard;1
AST-00057;linea_AT;Centro;22;47,9;1,96;11,3;60,4;0;281;alta;0
AST-00058;trasformatore;Centro;17;34,5;2,01;62,5;60,7;1;236;standard;0
AST-00059;trasformatore;Nord;12;46,1;1,72;74,5;71,4;7;224;alta;0
AST-00060;turbina_eolica;Nord;13;49,5;0,97;19,7;69,6;2;15;alta;0
AST-00061;cabina_primaria;Sud;22;23,1;1,96;72,3;48,0;2;301;alta;0
AST-00062;linea_AT;Centro;17;33,7;1,89;65,8;56,2;8;298;standard;0
AST-00063;trasformatore;Centro;16;45,3;0,88;46,8;52,7;6;251;alta;0
AST-00064;linea_AT;Sud;25;24,7;0,57;60,2;58,0;0;488;standard;0
AST-00065;trasformatore;Centro;22;26,1;3,05;86,9;87,6;2;346;standard;0
AST-00066;linea_AT;Centro;10;39,6;1,25;50,5;70,6;3;234;standard;0
AST-00067;cabina_primaria;Centro;11;46,4;1,48;69,4;60,9;2;190;standard;0
AST-00068;linea_AT;Nord;4;46,8;1,89;74,2;79,4;2;83;critica;0
AST-00069;linea_AT;Nord;19;56,2;0,95;53,2;64,6;5;122;standard;0
AST-00070;trasformatore;Centro;19;42,7;2,08;86,1;39,1;6;177;standard;0
AST-00071;turbina_eolica;Nord;17;38,6;1,53;75,3;85,3;1;113;standard;0
AST-00072;cabina_primaria;Centro;8;30,2;1,64;63,5;59,8;0;137;standard;0
AST-00073;linea_AT;Sud;34;38,5;3,44;100,0;30,4;3;372;alta;1
AST-00074;turbina_eolica;Nord;10;48,4;1,84;86,2;39,6;7;296;standard;0
AST-00075;turbina_eolica;Nord;15;48,8;1,43;37,6;77,8;3;235;alta;0
AST-00076;trasformatore;Nord;19;44,4;0,74;61,0;39,8;4;134;standard;0
AST-00077;trasformatore;Nord;8;46,9;2,01;100,0;80,9;3;241;critica;0
AST-00078;trasformatore;Sud;20;53,5;2,97;50,3;63,1;2;368;alta;1
AST-00079;turbina_eolica;Centro;18;42,7;1,45;69,2;72,0;0;207;standard;0
AST-00080;cabina_primaria;Sud;40;54,3;2,95;90,2;58,4;1;332;alta;1
AST-00081;turbina_eolica;Sud;25;35,5;2,02;79,7;69,3;2;324;standard;0
AST-00082;trasformatore;Centro;27;41,3;1,75;82,3;66,4;4;262;standard;0
AST-00083;trasformatore;Sud;30;37,7;2,19;81,3;61,5;3;351;standard;0
AST-00084;trasformatore;Nord;16;49,1;0,59;68,5;47,1;9;102;standard;0
AST-00085;cabina_primaria;Nord;8;32,9;1,27;53,7;67,0;5;98;critica;0
AST-00086;turbina_eolica;Nord;20;39,1;1,3;75,8;36,6;7;184;alta;0
AST-00087;linea_AT;Sud;14;25,3;1,49;60,8;75,0;4;374;standard;0
AST-00088;cabina_primaria;Centro;27;47,3;4,85;59,3;64,8;1;185;critica;1
AST-00089;trasformatore;Nord;15;53,2;1,79;94,7;68,5;4;69;standard;0
AST-00090;linea_AT;Centro;1;50,2;0,51;61,1;25,4;5;310;standard;0
AST-00091;cabina_primaria;Nord;12;49,3;1,05;98,7;46,2;0;243;alta;0
AST-00092;turbina_eolica;Sud;27;49,6;1,64;72,6;54,9;3;181;standard;0
AST-00093;trasformatore;Centro;16;48,3;1,84;65,1;71,4;2;317;alta;1
AST-00094;cabina_primaria;Centro;21;47,5;0,1;35,3;48,8;3;193;standard;0
AST-00095;cabina_primaria;Nord;9;48,1;2,32;100,0;97,7;5;175;standard;0
AST-00096;turbina_eolica;Centro;9;36,1;2,39;67,9;58,3;1;301;standard;0
AST-00097;linea_AT;Nord;14;40,2;0,71;27,1;47,8;7;292;standard;0
AST-00098;trasformatore;Nord;14;42,6;2,91;85,8;59,4;5;240;standard;0
AST-00099;cabina_primaria;Nord;12;39,0;1,44;67,1;48,7;6;179;standard;0
AST-00100;turbina_eolica;Isole;32;27,9;0,83;51,2;45,4;5;270;standard;0
AST-00101;trasformatore;Isole;20;30,9;0,67;84,8;76,2;2;218;alta;0
AST-00102;linea_AT;Sud;25;44,1;2,29;22,1;69,2;3;410;standard;0
AST-00103;cabina_primaria;Nord;14;50,2;1,1;55,1;69,2;1;267;standard;0
AST-00104;cabina_primaria;Isole;16;42,1;1,97;62,6;79,9;2;315;standard;0
AST-00105;trasformatore;Sud;15;66,9;0,65;83,3;68,8;2;318;standard;0
AST-00106;trasformatore;Sud;23;33,7;1,31;100,0;47,1;1;295;standard;0
AST-00107;cabina_primaria;Centro;29;46,0;2,19;63,6;71,9;3;163;standard;1
AST-00108;cabina_primaria;Nord;17;53,6;3,37;76,3;46,2;4;246;standard;0
AST-00109;turbina_eolica;Nord;4;51,6;3,61;100,0;55,3;5;177;critica;0
AST-00110;linea_AT;Isole;6;47,9;3,33;68,1;61,4;1;362;standard;1
AST-00111;turbina_eolica;Centro;21;51,6;7,16;76,4;59,9;5;423;standard;1
AST-00112;turbina_eolica;Nord;13;42,5;1,99;45,7;36,9;3;45;alta;0
AST-00113;trasformatore;Nord;21;57,0;0,64;100,0;48,5;3;204;standard;0
AST-00114;trasformatore;Centro;12;53,5;1,07;55,2;61,7;3;126;standard;0
AST-00115;trasformatore;Nord;16;34,3;3,55;72,8;53,5;4;147;standard;0
AST-00116;cabina_primaria;Sud;28;44,9;0,96;72,3;77,8;2;352;standard;0
AST-00117;trasformatore;Sud;20;28,1;0,07;69,5;80,2;5;408;alta;0
AST-00118;trasformatore;Sud;20;55,7;1,35;60,2;46,3;3;319;standard;0
AST-00119;turbina_eolica;Centro;17;44,0;2,87;72,3;62,8;5;181;alta;0
AST-00120;trasformatore;Centro;20;54,1;1,05;99,6;84,2;4;188;standard;0
AST-00121;trasformatore;Centro;17;41,0;3,66;100,0;60,1;2;124;alta;1
AST-00122;linea_AT;Centro;23;25,3;5,16;64,8;56,3;4;261;standard;1
AST-00123;turbina_eolica;Nord;11;65,7;1,96;59,9;74,0;1;183;alta;0
AST-00124;linea_AT;Centro;9;43,2;5,74;53,4;58,2;5;245;standard;1
AST-00125;cabina_primaria;Nord;26;33,0;4,35;100,0;79,8;5;154;standard;1
AST-00126;trasformatore;Centro;13;52,3;2,93;70,3;53,7;6;195;standard;0
AST-00127;cabina_primaria;Nord;11;60,3;2,15;88,1;55,4;4;254;critica;0
AST-00128;cabina_primaria;Nord;14;40,2;2,02;80,5;73,1;4;242;standard;0
AST-00129;cabina_primaria;Nord;14;41,1;1,57;100,0;63,4;5;273;standard;0
AST-00130;linea_AT;Centro;15;44,1;2,45;63,5;63,5;2;240;critica;0
AST-00131;linea_AT;Nord;14;32,0;0,26;48,1;35,3;5;268;alta;0
AST-00132;linea_AT;Isole;25;35,8;4,47;100,0;57,1;4;347;alta;1
AST-00133;linea_AT;Centro;18;58,0;5,8;84,3;74,1;3;194;standard;1
AST-00134;trasformatore;Nord;1;40,8;0,24;76,2;51,0;5;256;standard;0
AST-00135;cabina_primaria;Centro;28;34,5;2,82;95,6;71,8;3;277;critica;1
AST-00136;linea_AT;Nord;13;37,9;4,24;77,2;65,8;5;137;standard;0
AST-00137;linea_AT;Isole;28;51,7;1,83;96,3;59,2;0;296;alta;1
AST-00138;turbina_eolica;Centro;9;24,2;1,51;72,4;81,0;2;194;standard;0
AST-00139;trasformatore;Sud;20;44,3;1,27;84,2;57,2;2;285;critica;0
AST-00140;turbina_eolica;Nord;10;64,2;1,09;77,5;58,2;7;298;standard;0
AST-00141;turbina_eolica;Centro;26;60,3;2,08;62,1;59,0;4;271;standard;1
AST-00142;turbina_eolica;Centro;13;47,2;3,64;64,3;63,1;3;149;alta;0
AST-00143;trasformatore;Isole;30;53,8;0,29;60,9;72,7;0;296;critica;0
AST-00144;trasformatore;Centro;13;53,8;0,77;72,8;41,4;3;148;critica;0
AST-00145;turbina_eolica;Centro;14;40,9;1,03;59,8;74,2;1;165;standard;0
AST-00146;turbina_eolica;Nord;13;50,3;0,45;75,8;63,0;2;147;standard;0
AST-00147;cabina_primaria;Nord;22;58,1;2,61;75,2;69,8;5;249;alta;1
AST-00148;trasformatore;Centro;6;30,6;2,38;71,7;95,5;2;133;standard;0
AST-00149;trasformatore;Centro;9;47,2;3,05;72,0;54,8;2;393;standard;1
AST-00150;trasformatore;Nord;2;45,3;0,19;57,8;44,9;5;85;standard;0
AST-00151;turbina_eolica;Sud;16;42,9;2,81;62,9;64,7;3;227;standard;0
AST-00152;turbina_eolica;Isole;20;42,1;3,63;37,9;66,9;2;515;standard;1
AST-00153;linea_AT;Nord;4;44,1;2,65;65,8;74,2;8;266;standard;0
AST-00154;cabina_primaria;Centro;13;44,8;1,73;50,3;54,5;7;195;critica;0
AST-00155;trasformatore;Nord;2;52,1;1,55;69,8;50,4;7;191;alta;0
AST-00156;linea_AT;Sud;17;46,3;2,23;55,1;40,5;1;373;standard;0
AST-00157;trasformatore;Nord;21;40,4;2,05;31,1;42,9;0;171;standard;0
AST-00158;trasformatore;Sud;25;34,4;1,06;100,0;56,2;2;236;standard;0
AST-00159;turbina_eolica;Sud;24;37,7;0,21;63,8;60,4;0;141;alta;0
AST-00160;trasformatore;Sud;17;44,4;1,18;94,0;90,9;1;272;alta;0
AST-00161;linea_AT;Nord;5;35,6;5,38;58,5;38,3;3;305;standard;1
AST-00162;linea_AT;Isole;18;50,5;0,25;98,6;66,7;1;528;critica;0
AST-00163;linea_AT;Nord;14;45,9;2,02;47,3;51,8;6;139;standard;0
AST-00164;turbina_eolica;Nord;19;52,3;4,57;71,2;65,1;5;83;alta;0
AST-00165;linea_AT;Centro;22;36,3;3,1;48,3;54,3;4;232;critica;0
AST-00166;turbina_eolica;Nord;18;34,5;3,43;100,0;76,5;5;195;alta;0
AST-00167;trasformatore;Sud;19;52,2;3,17;63,5;76,4;3;388;standard;1
AST-00168;trasformatore;Sud;23;43,2;0,45;82,9;60,4;0;138;standard;0
AST-00169;linea_AT;Nord;12;40,2;4,05;76,1;82,1;3;413;standard;0
AST-00170;cabina_primaria;Isole;24;48,3;4,43;67,5;72,6;6;471;standard;1
AST-00171;trasformatore;Nord;26;48,0;0,6;77,3;81,5;11;144;standard;0
AST-00172;linea_AT;Centro;6;30,7;1,26;92,5;61,4;2;153;standard;0
AST-00173;linea_AT;Nord;13;54,5;1,85;80,0;75,3;3;239;standard;0
AST-00174;cabina_primaria;Isole;32;38,3;1,28;70,9;51,2;2;420;standard;1
AST-00175;turbina_eolica;Nord;5;57,3;0,99;77,3;49,8;2;167;standard;0
AST-00176;linea_AT;Nord;10;30,0;1,0;100,0;92,5;8;197;alta;0
AST-00177;linea_AT;Centro;14;44,9;2,8;60,5;46,8;4;201;standard;0
AST-00178;cabina_primaria;Isole;24;40,3;3,36;34,6;55,9;1;412;alta;1
AST-00179;trasformatore;Isole;15;24,2;1,01;48,3;35,4;2;438;alta;0
AST-00180;cabina_primaria;Sud;27;47,9;3,34;49,6;50,2;4;367;standard;1
AST-00181;trasformatore;Isole;29;24,7;1,27;52,1;48,1;2;403;standard;0
AST-00182;cabina_primaria;Isole;28;39,4;0,63;52,8;52,6;1;491;alta;0
AST-00183;trasformatore;Centro;12;51,9;2,19;67,6;66,2;3;82;standard;0
AST-00184;trasformatore;Nord;15;37,2;1,79;72,5;69,6;6;96;standard;0
AST-00185;trasformatore;Sud;18;33,9;2,25;72,3;47,9;4;342;alta;0
AST-00186;turbina_eolica;Sud;21;49,2;2,22;54,9;50,9;6;282;alta;0
AST-00187;trasformatore;Nord;27;39,8;2,06;85,9;77,2;7;128;standard;0
AST-00188;trasformatore;Nord;15;38,4;1,64;77,6;85,9;2;263;standard;0
AST-00189;turbina_eolica;Sud;16;53,5;3,29;96,5;79,6;3;328;alta;1
AST-00190;turbina_eolica;Nord;15;31,5;2,66;83,2;39,0;3;15;standard;0
AST-00191;linea_AT;Isole;17;37,9;1,31;61,7;78,7;3;346;alta;0
AST-00192;cabina_primaria;Nord;7;49,8;1,28;91,5;88,0;3;165;standard;0
AST-00193;linea_AT;Nord;8;30,9;0,42;72,9;38,3;4;163;standard;0
AST-00194;trasformatore;Sud;20;58,0;0,48;82,4;77,2;1;384;standard;0
AST-00195;trasformatore;Nord;20;40,0;1,56;81,0;65,2;2;198;alta;0
AST-00196;cabina_primaria;Nord;17;49,9;3,02;65,8;57,4;4;149;standard;1
AST-00197;trasformatore;Centro;20;49,9;0,88;69,9;63,5;2;115;critica;0
AST-00198;turbina_eolica;Sud;16;40,6;2,74;65,6;68,2;2;305;alta;0
AST-00199;cabina_primaria;Nord;11;37,7;2,01;52,6;78,2;5;110;alta;0
AST-00200;cabina_primaria;Nord;16;41,6;0,92;29,4;77,5;6;137;alta;0
AST-00201;turbina_eolica;Sud;19;48,4;1,84;55,5;40,9;3;395;standard;1
AST-00202;linea_AT;Isole;23;33,1;1,79;71,6;52,9;2;412;standard;0
AST-00203;turbina_eolica;Centro;20;31,2;0,96;87,5;63,3;8;276;standard;0
AST-00204;linea_AT;Nord;12;55,4;2,62;82,3;84,0;2;129;standard;0
AST-00205;trasformatore;Nord;15;35,4;3,22;63,0;23,8;4;281;standard;0
AST-00206;trasformatore;Nord;24;45,2;1,4;55,8;53,4;4;214;alta;0
AST-00207;linea_AT;Nord;13;40,2;0,69;64,8;40,6;4;169;alta;0
AST-00208;trasformatore;Sud;30;40,6;3,32;50,4;42,8;4;388;standard;1
AST-00209;linea_AT;Nord;17;54,9;0,45;29,9;75,8;4;106;standard;0
AST-00210;turbina_eolica;Centro;8;41,2;2,13;40,2;54,6;5;41;alta;0
AST-00211;cabina_primaria;Sud;16;38,8;0,88;92,7;29,3;4;291;alta;0
AST-00212;cabina_primaria;Centro;12;39,6;0,64;100,0;59,8;3;270;critica;0
AST-00213;turbina_eolica;Nord;9;37,5;1,16;81,6;90,5;5;166;standard;0
AST-00214;linea_AT;Sud;22;36,0;1,78;67,0;36,7;3;329;standard;0
AST-00215;trasformatore;Sud;27;37,5;0,76;42,9;69,5;4;272;alta;0
AST-00216;turbina_eolica;Sud;31;57,0;0,55;65,1;83,9;4;184;standard;0
AST-00217;trasformatore;Nord;16;48,4;0,33;79,0;61,3;2;274;alta;0
AST-00218;cabina_primaria;Nord;11;38,9;4,58;82,9;89,0;5;143;standard;0
AST-00219;cabina_primaria;Isole;13;50,8;2,25;80,4;52,8;3;346;standard;0
AST-00220;cabina_primaria;Centro;17;27,7;0,93;89,8;82,2;4;156;standard;0
AST-00221;cabina_primaria;Nord;14;54,4;2,33;100,0;78,9;6;260;alta;0
AST-00222;cabina_primaria;Centro;18;53,7;1,77;60,7;61,5;3;281;standard;0
AST-00223;trasformatore;Sud;36;62,1;2,81;100,0;41,2;2;263;alta;0
AST-00224;cabina_primaria;Isole;32;51,1;1,48;31,6;48,0;1;473;alta;1
AST-00225;linea_AT;Nord;19;45,9;3,15;54,0;29,2;7;148;alta;0
AST-00226;turbina_eolica;Isole;19;53,6;1,04;71,6;70,3;0;331;critica;0
AST-00227;linea_AT;Nord;11;36,4;2,0;77,9;68,6;5;137;alta;0
AST-00228;trasformatore;Centro;16;38,4;3,02;64,7;63,1;2;147;alta;0
AST-00229;trasformatore;Centro;12;41,4;2,07;59,1;60,3;4;104;standard;0
AST-00230;trasformatore;Nord;17;54,3;5,49;100,0;81,0;5;222;alta;1
AST-00231;trasformatore;Nord;16;34,3;2,77;58,2;66,2;6;142;critica;0
AST-00232;turbina_eolica;Centro;10;33,3;2,3;49,7;54,2;3;259;alta;0
AST-00233;cabina_primaria;Isole;32;44,1;1,33;98,4;64,1;3;403;standard;1
AST-00234;linea_AT;Centro;18;48,5;2,03;83,3;90,7;5;254;standard;0
AST-00235;turbina_eolica;Isole;15;35,7;3,75;87,7;70,7;2;216;alta;1
AST-00236;turbina_eolica;Sud;23;48,0;1,2;71,5;56,5;1;271;critica;0
AST-00237;turbina_eolica;Centro;19;54,3;0,85;43,2;61,4;5;256;standard;0
AST-00238;trasformatore;Sud;29;52,8;1,21;69,5;68,5;0;238;critica;1
AST-00239;cabina_primaria;Nord;12;45,2;1,16;40,8;56,1;4;190;standard;0
AST-00240;trasformatore;Nord;19;41,2;2,52;72,4;54,9;4;49;standard;0
AST-00241;linea_AT;Sud;24;57,6;5,08;79,8;61,8;1;341;critica;1
AST-00242;linea_AT;Sud;15;42,1;0,47;87,4;83,3;5;469;critica;0
AST-00243;linea_AT;Nord;6;50,5;1,81;66,3;73,1;1;222;standard;0
AST-00244;cabina_primaria;Centro;24;59,6;0,76;81,5;56,3;5;62;critica;0
AST-00245;trasformatore;Centro;24;49,5;2,2;51,7;74,2;1;278;alta;1
AST-00246;cabina_primaria;Sud;25;33,0;2,38;85,4;62,1;0;486;alta;1
AST-00247;linea_AT;Centro;26;30,8;1,16;80,1;66,8;6;434;alta;0
AST-00248;linea_AT;Centro;23;39,3;2,57;53,6;65,6;2;248;standard;0
AST-00249;linea_AT;Nord;18;48,4;1,01;77,5;32,5;4;51;standard;0
AST-00250;cabina_primaria;Centro;12;46,0;1,01;87,6;19,3;3;245;standard;0
AST-00251;cabina_primaria;Sud;33;61,9;0,89;69,4;65,2;3;468;standard;1
AST-00252;turbina_eolica;Sud;26;45,9;1,22;53,2;50,1;1;325;standard;0
AST-00253;cabina_primaria;Centro;15;39,1;1,68;71,2;39,1;0;293;standard;0
AST-00254;linea_AT;Nord;10;31,8;1,55;77,9;50,5;4;93;standard;0
AST-00255;turbina_eolica;Nord;16;52,6;1,93;53,1;74,9;5;190;standard;0
AST-00256;cabina_primaria;Sud;13;41,9;2,48;49,9;67,0;2;141;standard;0
AST-00257;turbina_eolica;Sud;27;28,4;1,94;77,4;72,8;3;264;standard;0
AST-00258;linea_AT;Nord;8;42,2;4,52;82,8;68,3;3;160;standard;0
AST-00259;trasformatore;Nord;16;33,0;1,77;100,0;49,1;5;131;standard;0
AST-00260;trasformatore;Centro;14;38,2;2,87;80,0;72,9;5;106;alta;0
AST-00261;cabina_primaria;Nord;12;42,1;0,42;46,2;70,2;4;120;alta;0
AST-00262;turbina_eolica;Sud;18;33,9;1,93;100,0;60,4;3;366;alta;0
AST-00263;turbina_eolica;Nord;13;37,6;1,54;87,0;62,8;3;153;alta;0
AST-00264;trasformatore;Nord;25;35,3;1,44;31,9;73,1;7;165;critica;0
AST-00265;turbina_eolica;Isole;33;35,5;3,7;49,5;51,5;2;439;alta;1
AST-00266;cabina_primaria;Nord;16;32,9;5,63;59,2;77,2;7;133;standard;0
AST-00267;cabina_primaria;Nord;14;37,7;2,5;83,1;69,9;5;269;standard;0
AST-00268;trasformatore;Nord;19;33,9;0,33;25,2;62,0;8;81;alta;0
AST-00269;linea_AT;Nord;21;47,3;1,11;65,9;83,4;0;314;alta;0
AST-00270;turbina_eolica;Nord;9;43,8;0,49;82,1;43,9;2;249;alta;0
AST-00271;linea_AT;Nord;14;52,8;1,89;17,0;55,6;7;132;standard;0
AST-00272;turbina_eolica;Nord;3;59,0;2,29;81,4;52,4;3;137;critica;0
AST-00273;turbina_eolica;Nord;21;48,1;0,38;83,6;67,0;5;177;standard;0
AST-00274;turbina_eolica;Centro;29;46,0;4,13;52,8;78,6;3;258;critica;1
AST-00275;linea_AT;Sud;23;48,7;0,63;47,2;48,2;6;428;standard;1
AST-00276;turbina_eolica;Centro;4;46,2;2,21;52,5;100,0;6;103;standard;0
AST-00277;turbina_eolica;Nord;18;42,5;4,07;19,9;52,7;3;195;standard;0
AST-00278;cabina_primaria;Centro;12;41,7;1,92;62,1;67,0;3;41;standard;0
AST-00279;linea_AT;Sud;19;32,8;0,96;72,0;62,0;2;326;standard;0
AST-00280;trasformatore;Sud;27;49,6;0,92;46,1;62,6;2;456;alta;0
AST-00281;cabina_primaria;Nord;16;41,7;1,95;85,5;50,9;6;47;standard;0
AST-00282;cabina_primaria;Nord;11;55,0;2,88;69,8;76,9;7;32;standard;0
AST-00283;trasformatore;Nord;10;50,2;2,16;72,7;50,0;0;178;standard;0
AST-00284;linea_AT;Nord;15;36,4;0,9;60,8;37,2;1;271;standard;0
AST-00285;trasformatore;Centro;15;53,2;1,51;81,4;46,3;3;236;standard;0
AST-00286;linea_AT;Centro;10;19,0;0,8;91,2;82,2;5;58;standard;0
AST-00287;trasformatore;Nord;12;59,4;0,8;60,7;79,5;6;25;alta;0
AST-00288;linea_AT;Nord;16;30,0;0,76;81,7;33,9;4;168;standard;0
AST-00289;trasformatore;Centro;16;46,5;1,27;81,9;73,4;5;116;critica;0
AST-00290;turbina_eolica;Nord;6;45,8;1,63;75,5;34,3;2;171;standard;0
AST-00291;cabina_primaria;Sud;29;52,1;1,77;98,2;61,6;3;356;alta;0
AST-00292;turbina_eolica;Nord;1;39,0;2,08;54,9;45,1;3;121;alta;0
AST-00293;cabina_primaria;Isole;22;22,7;0,95;60,4;74,5;0;525;standard;0
AST-00294;cabina_primaria;Nord;10;39,1;1,66;54,0;69,8;7;207;alta;0
AST-00295;cabina_primaria;Sud;24;40,0;1,81;81,1;75,7;5;437;standard;0
AST-00296;trasformatore;Isole;28;23,6;3,49;63,1;57,9;2;454;standard;0
AST-00297;cabina_primaria;Isole;32;42,4;0,39;55,5;59,3;2;368;alta;0
AST-00298;trasformatore;Sud;19;32,3;0,51;97,9;41,0;2;324;critica;0
AST-00299;turbina_eolica;Sud;27;47,8;2,41;100,0;47,6;3;316;standard;1
AST-00300;cabina_primaria;Centro;18;39,8;2,59;62,1;75,3;7;264;alta;1
AST-00301;linea_AT;Sud;13;59,6;2,42;43,4;67,1;2;288;standard;0
AST-00302;turbina_eolica;Nord;25;39,7;2,4;100,0;63,5;3;298;standard;0
AST-00303;turbina_eolica;Centro;8;45,9;0,43;76,5;79,7;3;150;standard;0
AST-00304;cabina_primaria;Centro;20;40,1;5,09;75,6;43,8;3;227;alta;1
AST-00305;linea_AT;Sud;25;27,4;3,24;69,9;72,1;2;322;alta;0
AST-00306;turbina_eolica;Centro;19;40,2;0,44;53,6;45,5;6;174;standard;0
AST-00307;cabina_primaria;Centro;14;48,8;1,37;60,6;82,7;4;384;critica;0
AST-00308;trasformatore;Centro;22;47,4;1,31;80,2;69,6;3;175;alta;0
AST-00309;trasformatore;Nord;5;39,4;1,55;59,9;75,5;3;136;standard;0
AST-00310;linea_AT;Nord;14;28,9;1,19;75,8;52,2;7;107;standard;0
AST-00311;cabina_primaria;Centro;14;47,8;0,67;68,2;92,5;2;213;standard;0
AST-00312;trasformatore;Centro;13;45,8;1,83;49,0;90,0;5;202;standard;0
AST-00313;trasformatore;Nord;17;49,6;3,64;97,2;68,0;0;70;standard;1
AST-00314;trasformatore;Nord;20;39,5;1,16;78,7;78,5;3;126;standard;0
